accession,line_type,parent_plant_id,institution,facility,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,comments,OUTCOME,REFARM?,REFARM_EXPTID,REFARM_COMMENTS,,
CS22659,SEED_PHYTOMETER,,CofC,NGH,SF,3,123,CofC_SF03_0123,4,G,3,Y,5,NA,,,,,,,
CS22633,SEED_PHYTOMETER,,CofC,NGH,SF,3,125,CofC_SF03_0125,4,H,1,N,,,,DNG,NA,,,,
CS22601,SEED_PHYTOMETER,,CofC,NGH,SF,3,128,CofC_SF03_0128,4,H,4,Y,5,NA,,,,,,,
CS22653,SEED_PHYTOMETER,,CofC,NGH,SF,3,133,CofC_SF03_0133,5,B,1,Y,5,NA,,,,,,,
CS22652,SEED_PHYTOMETER,,CofC,NGH,SF,3,155,CofC_SF03_0155,5,G,3,Y,5,NA,,,,,,,
CS22650,SEED_PHYTOMETER,,CofC,NGH,SF,3,156,CofC_SF03_0156,5,G,4,Y,5,NA,,,,,,,
CS22600,SEED_PHYTOMETER,,CofC,NGH,SF,3,167,CofC_SF03_0167,6,B,3,Y,5,NA,,,,,,,
CS22653,SEED_PHYTOMETER,,CofC,NGH,SF,3,172,CofC_SF03_0172,6,C,4,Y,6,NA,,,,,,,
CS22615,SEED_PHYTOMETER,,CofC,NGH,SF,3,179,CofC_SF03_0179,6,E,3,Y,5,NA,,,,,,,
CS22658,SEED_PHYTOMETER,,CofC,NGH,SF,3,187,CofC_SF03_0187,6,G,3,N,,,,DNG,NA,,,,
CS22658,SEED_PHYTOMETER,,CofC,NGH,SF,3,197,CofC_SF03_0197,7,B,1,N,,,,DNG,NA,,,,
CS22635,SEED_PHYTOMETER,,CofC,NGH,SF,3,214,CofC_SF03_0214,7,F,2,Y,5,NA,,,,,,,
CS22617,SEED_PHYTOMETER,,CofC,NGH,SF,3,216,CofC_SF03_0216,7,F,4,Y,5,NA,,,,,,,
CS22647,SEED_PHYTOMETER,,CofC,NGH,SF,3,222,CofC_SF03_0222,7,H,2,Y,5,NA,,,,,,,
CS22618,SEED_PHYTOMETER,,CofC,NGH,SF,3,230,CofC_SF03_0230,8,B,2,N,,,,DNG,NA,,,,
CS22606,SEED_PHYTOMETER,,CofC,NGH,SF,3,233,CofC_SF03_0233,8,C,1,N,,,,DNG,NA,,,,
CS22634,SEED_PHYTOMETER,,CofC,NGH,SF,3,240,CofC_SF03_0240,8,D,4,N,,,,DNG,NA,,,,
CS22659,SEED_PHYTOMETER,,CofC,NGH,SF,3,241,CofC_SF03_0241,8,E,1,N,,,,DNG,NA,,,,
CS22647,SEED_PHYTOMETER,,CofC,NGH,SF,3,246,CofC_SF03_0246,8,F,2,Y,5,NA,,,,,,,
CS22649,SEED_PHYTOMETER,,CofC,NGH,SF,3,255,CofC_SF03_0255,8,H,3,N,,,,DNG,NA,,,,
COL70000,SEED_PHYTOMETER,,CofC,NGH,SF,3,266,CofC_SF03_0266,9,C,2,N,,,,DNG,NA,,,,
CS22596,SEED_PHYTOMETER,,CofC,NGH,SF,3,268,CofC_SF03_0268,9,C,4,N,,,,DNG,NA,,,,
CS22618,SEED_PHYTOMETER,,CofC,NGH,SF,3,270,CofC_SF03_0270,9,D,2,N,,,,DNG,NA,,,,
CS22627,SEED_PHYTOMETER,,CofC,NGH,SF,3,279,CofC_SF03_0279,9,F,3,Y,5,NA,,,,,,,
CS22633,SEED_PHYTOMETER,,CofC,NGH,SF,3,285,CofC_SF03_0285,9,H,1,N,,,,DNG,NA,,,,
CS22617,SEED_PHYTOMETER,,CofC,NGH,SF,3,291,CofC_SF03_0291,10,A,3,Y,36,,,,,,,,
CS22614,SEED_PHYTOMETER,,CofC,NGH,SF,3,292,CofC_SF03_0292,10,A,4,N,,,,DNG,NA,,,,
CS22631,SEED_PHYTOMETER,,CofC,NGH,SF,3,297,CofC_SF03_0297,10,C,1,N,,,,DNG,NA,,,,
CS22633,SEED_PHYTOMETER,,CofC,NGH,SF,3,298,CofC_SF03_0298,10,C,2,Y,5,NA,,,,,,,
CS22652,SEED_PHYTOMETER,,CofC,NGH,SF,3,302,CofC_SF03_0302,10,D,2,N,,,,DNG,NA,,,,
CS22635,SEED_PHYTOMETER,,CofC,NGH,SF,3,304,CofC_SF03_0304,10,D,4,Y,5,NA,,,,,,,
CS22618,SEED_PHYTOMETER,,CofC,NGH,SF,3,312,CofC_SF03_0312,10,F,4,Y,5,NA,,,,,,,
CS22620,SEED_PHYTOMETER,,CofC,NGH,SF,3,313,CofC_SF03_0313,10,G,1,N,,,,DNG,NA,,,,
SALK_008526C,RAND_BIN_LINE,,CofC,NGH,SF,3,3,CofC_SF03_0003,1,A,3,Y,,,,DIED,Y,SF05,,,
SALK_009392C,RAND_BIN_LINE,,CofC,NGH,SF,3,7,CofC_SF03_0007,1,B,3,Y,,,,DIED,Y,SF07,,,
SALK_009538C,RAND_BIN_LINE,,CofC,NGH,SF,3,17,CofC_SF03_0017,1,E,1,Y,,,,DIED,Y,SF05,,,
SALK_008043C,RAND_BIN_LINE,,CofC,NGH,SF,3,22,CofC_SF03_0022,1,F,2,Y,,,,DIED,Y,SF07,,,
SALK_008680C,RAND_BIN_LINE,,CofC,NGH,SF,3,23,CofC_SF03_0023,1,F,3,Y,,,,DIED,Y,SF05,,,
SALK_008473C,RAND_BIN_LINE,,CofC,NGH,SF,3,27,CofC_SF03_0027,1,G,3,Y,,,,DIED,Y,SF05,,,
SALK_010107C,RAND_BIN_LINE,,CofC,NGH,SF,3,53,CofC_SF03_0053,2,F,1,Y,,,,DIED,Y,SF06,,,
SALK_010664C,RAND_BIN_LINE,,CofC,NGH,SF,3,58,CofC_SF03_0058,2,G,2,Y,,,,DIED,Y,SF06,,,
SALK_012134C,RAND_BIN_LINE,,CofC,NGH,SF,3,60,CofC_SF03_0060,2,G,4,Y,,,,DIED,Y,SF05,,,
SALK_009930C,RAND_BIN_LINE,,CofC,NGH,SF,3,64,CofC_SF03_0064,2,H,4,Y,,,,DIED,Y,SF05,,,
SALK_007854C,RAND_BIN_LINE,,CofC,NGH,SF,3,66,CofC_SF03_0066,3,A,2,Y,,,,DIED,Y,SF05,,,
SALK_007222C,RAND_BIN_LINE,,CofC,NGH,SF,3,81,CofC_SF03_0081,3,E,1,Y,,,,DIED,Y,SF05,,,
SALK_012544C,RAND_BIN_LINE,,CofC,NGH,SF,3,85,CofC_SF03_0085,3,F,1,Y,,,,DIED,Y,SF07,,,
SALK_011915C,RAND_BIN_LINE,,CofC,NGH,SF,3,95,CofC_SF03_0095,3,H,3,Y,,,,DIED,Y,SF05,,,
SALK_010330C,RAND_BIN_LINE,,CofC,NGH,SF,3,103,CofC_SF03_0103,4,B,3,Y,,,,DIED,Y,SF06,,,
SALK_007443C,RAND_BIN_LINE,,CofC,NGH,SF,3,120,CofC_SF03_0120,4,F,4,Y,,,,DIED,Y,SF05,,,
SALK_008916C,RAND_BIN_LINE,,CofC,NGH,SF,3,122,CofC_SF03_0122,4,G,2,Y,,,,DIED,Y,SF07,,,
SALK_012140C,RAND_BIN_LINE,,CofC,NGH,SF,3,124,CofC_SF03_0124,4,G,4,Y,,,,DIED,Y,SF07,,,
SALK_008113C,RAND_BIN_LINE,,CofC,NGH,SF,3,136,CofC_SF03_0136,5,B,4,Y,,,,DIED,Y,SF05,,,
SALK_011486C,RAND_BIN_LINE,,CofC,NGH,SF,3,147,CofC_SF03_0147,5,E,3,Y,,,,DIED,Y,SF07,,,
SALK_011879C,RAND_BIN_LINE,,CofC,NGH,SF,3,149,CofC_SF03_0149,5,F,1,Y,,,,DIED,Y,SF05,,,
SALK_011649C,RAND_BIN_LINE,,CofC,NGH,SF,3,151,CofC_SF03_0151,5,F,3,Y,,,,DIED,Y,SF05,,,
SALK_011488C,RAND_BIN_LINE,,CofC,NGH,SF,3,152,CofC_SF03_0152,5,F,4,Y,,,,DIED,Y,SF05,,,
SALK_009963C,RAND_BIN_LINE,,CofC,NGH,SF,3,153,CofC_SF03_0153,5,G,1,Y,,,,DIED,Y,SF06,,,
SALK_008946C,RAND_BIN_LINE,,CofC,NGH,SF,3,161,CofC_SF03_0161,6,A,1,Y,,,,DIED,Y,SF05,,,
SALK_008753C,RAND_BIN_LINE,,CofC,NGH,SF,3,165,CofC_SF03_0165,6,B,1,Y,,,,DIED,Y,SF05,,,
SALK_008037C,RAND_BIN_LINE,,CofC,NGH,SF,3,171,CofC_SF03_0171,6,C,3,Y,,,,DIED,Y,SF05,,,
SALK_009918C,RAND_BIN_LINE,,CofC,NGH,SF,3,182,CofC_SF03_0182,6,F,2,Y,,,,DIED,Y,SF05,,,
SALK_011908C,RAND_BIN_LINE,,CofC,NGH,SF,3,184,CofC_SF03_0184,6,F,4,Y,,,,DIED,Y,SF05,,,
SALK_011266C,RAND_BIN_LINE,,CofC,NGH,SF,3,186,CofC_SF03_0186,6,G,2,Y,,,,DIED,Y,SF05,,,
SALK_011921C,RAND_BIN_LINE,,CofC,NGH,SF,3,200,CofC_SF03_0200,7,B,4,Y,,,,DIED,Y,SF05,,,
SALK_007334C,RAND_BIN_LINE,,CofC,NGH,SF,3,201,CofC_SF03_0201,7,C,1,Y,,,,DIED,Y,SF05,,,
SALK_010945C,RAND_BIN_LINE,,CofC,NGH,SF,3,204,CofC_SF03_0204,7,C,4,Y,,,,DIED,Y,SF07,,,
SALK_012617C,RAND_BIN_LINE,,CofC,NGH,SF,3,205,CofC_SF03_0205,7,D,1,Y,,,,DIED,Y,SF06,,,
SALK_009405C,RAND_BIN_LINE,,CofC,NGH,SF,3,206,CofC_SF03_0206,7,D,2,Y,,,,DIED,Y,SF05,,,
SALK_011566C,RAND_BIN_LINE,,CofC,NGH,SF,3,219,CofC_SF03_0219,7,G,3,Y,,,,DIED,Y,SF07,,,
SALK_012586C,RAND_BIN_LINE,,CofC,NGH,SF,3,223,CofC_SF03_0223,7,H,3,Y,,,,DIED,Y,SF06,,,
SALK_010159C,RAND_BIN_LINE,,CofC,NGH,SF,3,225,CofC_SF03_0225,8,A,1,Y,,,,DIED,Y,SF06,,,
SALK_010345C,RAND_BIN_LINE,,CofC,NGH,SF,3,228,CofC_SF03_0228,8,A,4,Y,,,,DIED,Y,SF06,,,
SALK_011152C,RAND_BIN_LINE,,CofC,NGH,SF,3,247,CofC_SF03_0247,8,F,3,Y,,,,DIED,Y,SF07,,,
SALK_012345C,RAND_BIN_LINE,,CofC,NGH,SF,3,259,CofC_SF03_0259,9,A,3,Y,,,,DIED,Y,SF06,,,
SALK_008736C,RAND_BIN_LINE,,CofC,NGH,SF,3,273,CofC_SF03_0273,9,E,1,Y,,,,DIED,Y,SF05,,,
SALK_010458C,RAND_BIN_LINE,,CofC,NGH,SF,3,288,CofC_SF03_0288,9,H,4,Y,,,,DIED,Y,SF07,,,
SALK_011535C,RAND_BIN_LINE,,CofC,NGH,SF,3,305,CofC_SF03_0305,10,E,1,Y,,,,DIED,Y,SF05,,,
SALK_011806C,RAND_BIN_LINE,,CofC,NGH,SF,3,311,CofC_SF03_0311,10,F,3,Y,,8/23/2012,Short and bushy, no fruits produced,INS-FRUITS,Y,SF07,,
SALK_011461C,RAND_BIN_LINE,,CofC,NGH,SF,3,5,CofC_SF03_0005,1,B,1,Y,21,8/29/2012,,,,,,,
SALK_007218C,RAND_BIN_LINE,,CofC,NGH,SF,3,8,CofC_SF03_0008,1,B,4,N,26,8/29/2012,No germ data, fruits collected?,DNG,Y,SF07,Refarm incase plant result of seed contamination,
SALK_009163C,RAND_BIN_LINE,,CofC,NGH,SF,3,11,CofC_SF03_0011,1,C,3,N,,,,DNG,Y,SF05,,,
SALK_012514C,RAND_BIN_LINE,,CofC,NGH,SF,3,12,CofC_SF03_0012,1,C,4,Y,36,8/29/2012,,,,,,,
SALK_010543C,RAND_BIN_LINE,,CofC,NGH,SF,3,13,CofC_SF03_0013,1,D,1,N,,,,DNG,Y,SF06,,,
SALK_009798C,RAND_BIN_LINE,,CofC,NGH,SF,3,14,CofC_SF03_0014,1,D,2,N,,,,DNG,Y,SF05,,,
SALK_010675C,RAND_BIN_LINE,,CofC,NGH,SF,3,15,CofC_SF03_0015,1,D,3,Y,20,8/29/2012,,,,,,,
SALK_008667C,RAND_BIN_LINE,,CofC,NGH,SF,3,19,CofC_SF03_0019,1,E,3,Y,21,8/29/2012,,,,SF05,Not sure why these were selected for refarming - made sufficient fruits,,
SALK_012513C,RAND_BIN_LINE,,CofC,NGH,SF,3,20,CofC_SF03_0020,1,E,4,Y,33,8/29/2012,,,,,,,
SALK_012575C,RAND_BIN_LINE,,CofC,NGH,SF,3,21,CofC_SF03_0021,1,F,1,N,,,,DNG,Y,SF06,,,
SALK_009619C,RAND_BIN_LINE,,CofC,NGH,SF,3,24,CofC_SF03_0024,1,F,4,N,,,,DNG,Y,SF05,,,
SALK_007447C,RAND_BIN_LINE,,CofC,NGH,SF,3,25,CofC_SF03_0025,1,G,1,Y,31,8/29/2012,,,,,,,
SALK_007247C,RAND_BIN_LINE,,CofC,NGH,SF,3,26,CofC_SF03_0026,1,G,2,Y,26,8/29/2012,,,,,,,
SALK_008365C,RAND_BIN_LINE,,CofC,NGH,SF,3,28,CofC_SF03_0028,1,G,4,N,,,,DNG,Y,SF05,,,
SALK_010439C,RAND_BIN_LINE,,CofC,NGH,SF,3,29,CofC_SF03_0029,1,H,1,Y,30,8/29/2012,Added 30 fruits to an empty envelope, although data sheet said that there should have already been 22 fruits in the envelope,,,,,
SALK_012209C,RAND_BIN_LINE,,CofC,NGH,SF,3,30,CofC_SF03_0030,1,H,2,Y,27,8/29/2012,,,,,,,
SALK_008553C,RAND_BIN_LINE,,CofC,NGH,SF,3,32,CofC_SF03_0032,1,H,4,N,,,,DNG,Y,SF05,,,
SALK_009792C,RAND_BIN_LINE,,CofC,NGH,SF,3,33,CofC_SF03_0033,2,A,1,N,,,,DNG,Y,SF05,,,
SALK_012363C,RAND_BIN_LINE,,CofC,NGH,SF,3,34,CofC_SF03_0034,2,A,2,N,,,,DNG,Y,SF06,,,
SALK_012713C,RAND_BIN_LINE,,CofC,NGH,SF,3,35,CofC_SF03_0035,2,A,3,N,,,,DNG,Y,SF06,,,
SALK_010201C,RAND_BIN_LINE,,CofC,NGH,SF,3,40,CofC_SF03_0040,2,B,4,N,,,,DNG,Y,SF06,,,
SALK_012070C,RAND_BIN_LINE,,CofC,NGH,SF,3,42,CofC_SF03_0042,2,C,2,Y,26,8/29/2012,,,,,,,
SALK_007876C,RAND_BIN_LINE,,CofC,NGH,SF,3,43,CofC_SF03_0043,2,C,3,Y,36,8/29/2012,,,,,,,
SALK_009536C,RAND_BIN_LINE,,CofC,NGH,SF,3,44,CofC_SF03_0044,2,C,4,N,,,,DNG,Y,SF05,,,
SALK_012144C,RAND_BIN_LINE,,CofC,NGH,SF,3,45,CofC_SF03_0045,2,D,1,N,,,,DNG,Y,SF05,,,
SALK_012424C,RAND_BIN_LINE,,CofC,NGH,SF,3,48,CofC_SF03_0048,2,D,4,Y,20,8/29/2012,,,,,,,
SALK_010140C,RAND_BIN_LINE,,CofC,NGH,SF,3,50,CofC_SF03_0050,2,E,2,N,,,,DNG,Y,SF06,,,
SALK_008982C,RAND_BIN_LINE,,CofC,NGH,SF,3,51,CofC_SF03_0051,2,E,3,N,,,,DNG,Y,SF05,,,
SALK_011832C,RAND_BIN_LINE,,CofC,NGH,SF,3,55,CofC_SF03_0055,2,F,3,Y,21,8/29/2012,,,,,,,
SALK_009706C,RAND_BIN_LINE,,CofC,NGH,SF,3,56,CofC_SF03_0056,2,F,4,Y,27,8/29/2012,,,,,,,
SALK_010280C,RAND_BIN_LINE,,CofC,NGH,SF,3,57,CofC_SF03_0057,2,G,1,Y,11,8/29/2012,,,,SF06,Not sure why these were selected for refarming - made sufficient fruits,,
SALK_011610C,RAND_BIN_LINE,,CofC,NGH,SF,3,59,CofC_SF03_0059,2,G,3,Y,30,8/29/2012,,,,,,,
SALK_012553C,RAND_BIN_LINE,,CofC,NGH,SF,3,61,CofC_SF03_0061,2,H,1,Y,28,8/29/2012,,,,,,,
SALK_012577C,RAND_BIN_LINE,,CofC,NGH,SF,3,62,CofC_SF03_0062,2,H,2,Y,20,9/15/2012,,,,,,,
SALK_010711C,RAND_BIN_LINE,,CofC,NGH,SF,3,63,CofC_SF03_0063,2,H,3,N,,,,DNG,Y,SF05,,,
SALK_007292C,RAND_BIN_LINE,,CofC,NGH,SF,3,65,CofC_SF03_0065,3,A,1,N,,,,DNG,Y,SF05,,,
SALK_010131C,RAND_BIN_LINE,,CofC,NGH,SF,3,67,CofC_SF03_0067,3,A,3,N,,,,DNG,Y,SF06,,,
SALK_009697C,RAND_BIN_LINE,,CofC,NGH,SF,3,69,CofC_SF03_0069,3,B,1,N,,,,DNG,Y,SF05,,,
SALK_009665C,RAND_BIN_LINE,,CofC,NGH,SF,3,72,CofC_SF03_0072,3,B,4,Y,24,8/29/2012,,,,,,,
SALK_008849C,RAND_BIN_LINE,,CofC,NGH,SF,3,73,CofC_SF03_0073,3,C,1,Y,30,8/28/2012,,,,,,,
SALK_010572C,RAND_BIN_LINE,,CofC,NGH,SF,3,75,CofC_SF03_0075,3,C,3,Y,27,8/29/2012,,,,,,,
SALK_008036C,RAND_BIN_LINE,,CofC,NGH,SF,3,77,CofC_SF03_0077,3,D,1,N,,,,DNG,Y,SF05,,,
SALK_011888C,RAND_BIN_LINE,,CofC,NGH,SF,3,79,CofC_SF03_0079,3,D,3,N,21,8/29/2012,No germ data, fruits collected?,DNG,Y,SF07,Refarm incase plant result of seed contamination,
SALK_012299C,RAND_BIN_LINE,,CofC,NGH,SF,3,82,CofC_SF03_0082,3,E,2,Y,21,8/29/2012,,,,,,,
SALK_008594C,RAND_BIN_LINE,,CofC,NGH,SF,3,83,CofC_SF03_0083,3,E,3,Y,21,8/29/2012,,,,SF05,Not sure why these were selected for refarming - made sufficient fruits,,
SALK_009683C,RAND_BIN_LINE,,CofC,NGH,SF,3,86,CofC_SF03_0086,3,F,2,Y,23,8/29/2012,,,,,,,
SALK_010277C,RAND_BIN_LINE,,CofC,NGH,SF,3,88,CofC_SF03_0088,3,F,4,N,,,,DNG,Y,SF06,,,
SALK_008495C,RAND_BIN_LINE,,CofC,NGH,SF,3,89,CofC_SF03_0089,3,G,1,Y,7,8/28/2012,,,,,,,
SALK_009751C,RAND_BIN_LINE,,CofC,NGH,SF,3,90,CofC_SF03_0090,3,G,2,N,,,,DNG,Y,SF05,,,
SALK_010673C,RAND_BIN_LINE,,CofC,NGH,SF,3,94,CofC_SF03_0094,3,H,2,N,,,Rotten plant,DNG,Y,SF06,,,
SALK_012058C,RAND_BIN_LINE,,CofC,NGH,SF,3,97,CofC_SF03_0097,4,A,1,N,,,,DNG,Y,SF05,,,
SALK_010288C,RAND_BIN_LINE,,CofC,NGH,SF,3,99,CofC_SF03_0099,4,A,3,N,,,,DNG,Y,SF06,,,
SALK_008329C,RAND_BIN_LINE,,CofC,NGH,SF,3,100,CofC_SF03_0100,4,A,4,N,,,,DNG,Y,SF05,,,
SALK_010647C,RAND_BIN_LINE,,CofC,NGH,SF,3,101,CofC_SF03_0101,4,B,1,Y,48,8/29/2012,,,,,,,
SALK_010957C,RAND_BIN_LINE,,CofC,NGH,SF,3,102,CofC_SF03_0102,4,B,2,Y,25,8/29/2012,,,,,,,
SALK_012709C,RAND_BIN_LINE,,CofC,NGH,SF,3,105,CofC_SF03_0105,4,C,1,Y,25,8/29/2012,,,,,,,
SALK_009440C,RAND_BIN_LINE,,CofC,NGH,SF,3,106,CofC_SF03_0106,4,C,2,Y,21,8/29/2012,,,,,,,
SALK_010406C,RAND_BIN_LINE,,CofC,NGH,SF,3,110,CofC_SF03_0110,4,D,2,Y,34,10/2/2012,,,,,,,
SALK_011689C,RAND_BIN_LINE,,CofC,NGH,SF,3,113,CofC_SF03_0113,4,E,1,N,,,,DNG,Y,SF05,,,
SALK_010194C,RAND_BIN_LINE,,CofC,NGH,SF,3,114,CofC_SF03_0114,4,E,2,N,,,,DNG,Y,SF06,,,
SALK_012278C,RAND_BIN_LINE,,CofC,NGH,SF,3,115,CofC_SF03_0115,4,E,3,N,,,,DNG,Y,SF06,,,
SALK_009950C,RAND_BIN_LINE,,CofC,NGH,SF,3,119,CofC_SF03_0119,4,F,3,N,,,,DNG,Y,SF06,,,
SALK_011014C,RAND_BIN_LINE,,CofC,NGH,SF,3,121,CofC_SF03_0121,4,G,1,Y,25,8/29/2012,,,,,,,
SALK_008401C,RAND_BIN_LINE,,CofC,NGH,SF,3,126,CofC_SF03_0126,4,H,2,Y,22,8/29/2012,,,,,,,
SALK_007983C,RAND_BIN_LINE,,CofC,NGH,SF,3,129,CofC_SF03_0129,5,A,1,N,,,,DNG,Y,SF05,,,
SALK_009456C,RAND_BIN_LINE,,CofC,NGH,SF,3,130,CofC_SF03_0130,5,A,2,Y,20,8/29/2012,,,,,,,
SALK_008039C,RAND_BIN_LINE,,CofC,NGH,SF,3,131,CofC_SF03_0131,5,A,3,N,,,,DNG,Y,SF05,,,
SALK_010684C,RAND_BIN_LINE,,CofC,NGH,SF,3,132,CofC_SF03_0132,5,A,4,N,,,,DNG,Y,SF05,,,
SALK_012362C,RAND_BIN_LINE,,CofC,NGH,SF,3,137,CofC_SF03_0137,5,C,1,N,,,,DNG,Y,SF06,,,
SALK_007941C,RAND_BIN_LINE,,CofC,NGH,SF,3,138,CofC_SF03_0138,5,C,2,N,,,,DNG,Y,SF07,,,
SALK_007613C,RAND_BIN_LINE,,CofC,NGH,SF,3,139,CofC_SF03_0139,5,C,3,Y,20,8/29/2012,,,,,,,
SALK_012475C,RAND_BIN_LINE,,CofC,NGH,SF,3,140,CofC_SF03_0140,5,C,4,N,,,,DNG,Y,SF06,,,
SALK_008867C,RAND_BIN_LINE,,CofC,NGH,SF,3,141,CofC_SF03_0141,5,D,1,N,,,,DNG,Y,SF05,,,
SALK_012142C,RAND_BIN_LINE,,CofC,NGH,SF,3,142,CofC_SF03_0142,5,D,2,N,,,,DNG,Y,SF05,,,
SALK_011253C,RAND_BIN_LINE,,CofC,NGH,SF,3,145,CofC_SF03_0145,5,E,1,N,,,,DNG,Y,SF05,,,
SALK_012657C,RAND_BIN_LINE,,CofC,NGH,SF,3,150,CofC_SF03_0150,5,F,2,Y,22,8/29/2012,,,,,,,
