accession,line_type,parent_plant_id,institution,facility,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,phyt_ttlgdfr,outcome,comments,REFARM?,REFARM_EXPTID,REFARM_COMMENTS
SALK_038310C,RAND_BIN_LINE,,CofC,NGH,SF,6,24,CofC_SF06_0024,1,F,4,N,,,,DNG,,Y,SF07,
SALK_010543C,SF03_REFARM,,CofC,NGH,SF,6,25,CofC_SF06_0025,1,G,1,Y,25,1/14/2013,,,,,,
SALK_012475C,SF03_REFARM,,CofC,NGH,SF,6,26,CofC_SF06_0026,1,G,2,Y,21,1/22/2013,,,,,,
SALK_039123C,RAND_BIN_LINE,,CofC,NGH,SF,6,27,CofC_SF06_0027,1,G,3,Y,19,1/9/2013,,,,,,
SALK_039637C,RAND_BIN_LINE,,CofC,NGH,SF,6,28,CofC_SF06_0028,1,G,4,N,,,,DNG,,Y,SF07,
SALK_040238C,RAND_BIN_LINE,,CofC,NGH,SF,6,29,CofC_SF06_0029,1,H,1,Y,17,1/22/2013,,,,,,
SALK_039436C,RAND_BIN_LINE,,CofC,NGH,SF,6,30,CofC_SF06_0030,1,H,2,N,,,,DNG,,Y,SF07,
SALK_038804C,RAND_BIN_LINE,,CofC,NGH,SF,6,31,CofC_SF06_0031,1,H,3,N,,,,DNG,,Y,SF07,
SALK_023661C,SF04_REFARM,,CofC,NGH,SF,6,32,CofC_SF06_0032,1,H,4,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_039818C,RAND_BIN_LINE,,CofC,NGH,SF,6,33,CofC_SF06_0033,2,A,1,Y,12,1/22/2013,,,Top of plant accidentally cut off,,,
CS22635,PHYTOMETER,,CofC,NGH,SF,6,34,CofC_SF06_0034,2,A,2,Y,23,,19,,Seeds accidentally collected before end of SF (2/20),,,
CS22617,PHYTOMETER,,CofC,NGH,SF,6,35,CofC_SF06_0035,2,A,3,Y,26,,42,,,,,
SALK_023369C,SF04_REFARM,,CofC,NGH,SF,6,36,CofC_SF06_0036,2,A,4,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_026155C,SF04_REFARM,,CofC,NGH,SF,6,37,CofC_SF06_0037,2,B,1,Y,20,1/9/2013,,,,,,
SALK_041685C,RAND_BIN_LINE,,CofC,NGH,SF,6,38,CofC_SF06_0038,2,B,2,Y,19,1/14/2013,,,,,,
SALK_040224C,RAND_BIN_LINE,,CofC,NGH,SF,6,39,CofC_SF06_0039,2,B,3,Y,22,1/14/2013,,,,,,
SALK_039571C,RAND_BIN_LINE,,CofC,NGH,SF,6,40,CofC_SF06_0040,2,B,4,Y,17,1/22/2013,,,,,,
SALK_037249C,RAND_BIN_LINE,,CofC,NGH,SF,6,41,CofC_SF06_0041,2,C,1,N,,,,DNG,,Y,SF07,
SALK_010122C,SF03_REFARM,,CofC,NGH,SF,6,42,CofC_SF06_0042,2,C,2,N,,,,DNG,,N,,*Second farming fail
SALK_040250C,RAND_BIN_LINE,,CofC,NGH,SF,6,43,CofC_SF06_0043,2,C,3,N,,,,DNG,,Y,SF07,
SALK_041883C,RAND_BIN_LINE,,CofC,NGH,SF,6,44,CofC_SF06_0044,2,C,4,Y,23,1/14/2013,,,,,,
SALK_040325C,RAND_BIN_LINE,,CofC,NGH,SF,6,45,CofC_SF06_0045,2,D,1,Y,16,1/9/2013,,,,,,
SALK_038718C,RAND_BIN_LINE,,CofC,NGH,SF,6,46,CofC_SF06_0046,2,D,2,N,,,,DNG,,Y,SF07,
SALK_037511C,RAND_BIN_LINE,,CofC,NGH,SF,6,47,CofC_SF06_0047,2,D,3,Y,18,1/14/2013,,,,,,
SALK_040551C,RAND_BIN_LINE,,CofC,NGH,SF,6,48,CofC_SF06_0048,2,D,4,Y,14,1/22/2013,,,,,,
SALK_027037C,SF04_REFARM,,CofC,NGH,SF,6,49,CofC_SF06_0049,2,E,1,Y,18,1/9/2013,,,,,,
CS22652,PHYTOMETER,,CofC,NGH,SF,6,50,CofC_SF06_0050,2,E,2,Y,27,,35,,almost all fruits on branches are aborts,,,
SALK_023325C,SF04_REFARM,,CofC,NGH,SF,6,51,CofC_SF06_0051,2,E,3,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_024645C,SF04_REFARM,,CofC,NGH,SF,6,52,CofC_SF06_0052,2,E,4,N,,,,DNG,,N,,SECOND FARM FAIL
CS22631,PHYTOMETER,,CofC,NGH,SF,6,53,CofC_SF06_0053,2,F,1,Y,22,,41,,,,,
SALK_040352C,RAND_BIN_LINE,,CofC,NGH,SF,6,54,CofC_SF06_0054,2,F,2,Y,18,1/9/2013,,,,,,
SALK_040576C,RAND_BIN_LINE,,CofC,NGH,SF,6,55,CofC_SF06_0055,2,F,3,Y,13,2/19/2013,,,,,,
SALK_026435C,SF04_REFARM,,CofC,NGH,SF,6,56,CofC_SF06_0056,2,F,4,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_037435C,RAND_BIN_LINE,,CofC,NGH,SF,6,57,CofC_SF06_0057,2,G,1,Y,16,1/14/2013,,,,,,
CS22596,PHYTOMETER,,CofC,NGH,SF,6,58,CofC_SF06_0058,2,G,2,Y,21,,34,,,,,
COL70000,PHYTOMETER,,CofC,NGH,SF,6,59,CofC_SF06_0059,2,G,3,Y,16,,26,,,,,
CS22652,PHYTOMETER,,CofC,NGH,SF,6,60,CofC_SF06_0060,2,G,4,Y,21,,24,,almost all fruits on branches are aborts,,,
SALK_039930C,RAND_BIN_LINE,,CofC,NGH,SF,6,61,CofC_SF06_0061,2,H,1,N,,,,DNG,,Y,SF07,
SALK_023915C,SF04_REFARM,,CofC,NGH,SF,6,62,CofC_SF06_0062,2,H,2,Y,14,2/19/2013,,,,,,
SALK_012586C,SF03_REFARM,,CofC,NGH,SF,6,63,CofC_SF06_0063,2,H,3,Y,19,1/9/2013,,,,,,
SALK_038049C,RAND_BIN_LINE,,CofC,NGH,SF,6,64,CofC_SF06_0064,2,H,4,Y,17,1/9/2013,,,,,,
SALK_022044C,SF04_REFARM,,CofC,NGH,SF,6,65,CofC_SF06_0065,3,A,1,Y,20,1/14/2013,,,,,,
SALK_024895C,SF04_REFARM,,CofC,NGH,SF,6,66,CofC_SF06_0066,3,A,2,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_022422C,SF04_REFARM,,CofC,NGH,SF,6,67,CofC_SF06_0067,3,A,3,Y,12,1/22/2013,,,,,,
SALK_038694C,RAND_BIN_LINE,,CofC,NGH,SF,6,68,CofC_SF06_0068,3,A,4,Y,24,1/22/2013,,,,,,
SALK_041071C,RAND_BIN_LINE,,CofC,NGH,SF,6,69,CofC_SF06_0069,3,B,1,Y,15,1/14/2013,,,,,,
SALK_037491C,RAND_BIN_LINE,,CofC,NGH,SF,6,70,CofC_SF06_0070,3,B,2,Y,15,1/22/2013,,,,,,
SALK_010107C,SF03_REFARM,,CofC,NGH,SF,6,71,CofC_SF06_0071,3,B,3,Y,16,1/19/2013,,,,,,
SALK_037647C,RAND_BIN_LINE,,CofC,NGH,SF,6,72,CofC_SF06_0072,3,B,4,Y,20,1/22/2013,,,,,,
SALK_038344C,RAND_BIN_LINE,,CofC,NGH,SF,6,73,CofC_SF06_0073,3,C,1,Y,19,1/22/2013,,,,,,
SALK_010194C,SF03_REFARM,,CofC,NGH,SF,6,74,CofC_SF06_0074,3,C,2,N,,,,DNG,,N,,*Second farming fail
CS22618,PHYTOMETER,,CofC,NGH,SF,6,75,CofC_SF06_0075,3,C,3,Y,17,,30,,"very short internode, short fruits",,,
SALK_041148C,RAND_BIN_LINE,,CofC,NGH,SF,6,76,CofC_SF06_0076,3,C,4,Y,19,1/22/2013,,,,,,
CS22658,PHYTOMETER,,CofC,NGH,SF,6,77,CofC_SF06_0077,3,D,1,Y,24,,40,,,,,
SALK_040079C,RAND_BIN_LINE,,CofC,NGH,SF,6,78,CofC_SF06_0078,3,D,2,N,,,,DNG,,Y,SF07,
SALK_012345C,SF03_REFARM,,CofC,NGH,SF,6,79,CofC_SF06_0079,3,D,3,Y,14,1/14/2013,,,,,,
CS22596,PHYTOMETER,,CofC,NGH,SF,6,80,CofC_SF06_0080,3,D,4,Y,38,,61,,,,,
SALK_038927C,RAND_BIN_LINE,,CofC,NGH,SF,6,81,CofC_SF06_0081,3,E,1,N,,,,DNG,,Y,SF07,
CS22647,PHYTOMETER,,CofC,NGH,SF,6,82,CofC_SF06_0082,3,E,2,Y,38,,49,,,,,
SALK_027008C,SF04_REFARM,,CofC,NGH,SF,6,83,CofC_SF06_0083,3,E,3,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_039434C,RAND_BIN_LINE,,CofC,NGH,SF,6,84,CofC_SF06_0084,3,E,4,N,,,,DNG,,Y,SF07,
CS22658,PHYTOMETER,,CofC,NGH,SF,6,85,CofC_SF06_0085,3,F,1,Y,25,,38,,"very short internodes, short fruits",,,
CS22618,PHYTOMETER,,CofC,NGH,SF,6,86,CofC_SF06_0086,3,F,2,Y,16,,30,,,,,
SALK_023066C,SF04_REFARM,,CofC,NGH,SF,6,87,CofC_SF06_0087,3,F,3,N,,,,DNG,,N,,SECOND FARM FAIL
CS22658,PHYTOMETER,,CofC,NGH,SF,6,88,CofC_SF06_0088,3,F,4,Y,20,,23,,,,,
SALK_012605C,SF03_REFARM,,CofC,NGH,SF,6,89,CofC_SF06_0089,3,G,1,Y,19,1/14/2013,,,,,,
SALK_041569C,RAND_BIN_LINE,,CofC,NGH,SF,6,90,CofC_SF06_0090,3,G,2,Y,20,1/9/2013,,,,,,
CS22633,PHYTOMETER,,CofC,NGH,SF,6,91,CofC_SF06_0091,3,G,3,N,,,,DNG,,NA,,
SALK_040058C,RAND_BIN_LINE,,CofC,NGH,SF,6,92,CofC_SF06_0092,3,G,4,Y,19,1/22/2013,,,,,,
SALK_038322C,RAND_BIN_LINE,,CofC,NGH,SF,6,93,CofC_SF06_0093,3,H,1,Y,16,1/9/2013,,,,,,
CS22647,PHYTOMETER,,CofC,NGH,SF,6,94,CofC_SF06_0094,3,H,2,Y,45,,54,,,,,
SALK_037520C,RAND_BIN_LINE,,CofC,NGH,SF,6,95,CofC_SF06_0095,3,H,3,Y,15,1/9/2013,,,,,,
SALK_040284C,RAND_BIN_LINE,,CofC,NGH,SF,6,96,CofC_SF06_0096,3,H,4,N,,,,DNG,,Y,SF07,
SALK_041472C,RAND_BIN_LINE,,CofC,NGH,SF,6,97,CofC_SF06_0097,4,A,1,N,,,,DNG,,Y,SF07,
SALK_041143C,RAND_BIN_LINE,,CofC,NGH,SF,6,98,CofC_SF06_0098,4,A,2,Y,15,1/14/2013,,,,,,
SALK_041494C,RAND_BIN_LINE,,CofC,NGH,SF,6,99,CofC_SF06_0099,4,A,3,N,,,,DNG,,Y,SF07,
CS22659,PHYTOMETER,,CofC,NGH,SF,6,100,CofC_SF06_0100,4,A,4,Y,19,,29,,,,,
SALK_037341C,RAND_BIN_LINE,,CofC,NGH,SF,6,101,CofC_SF06_0101,4,B,1,Y,12,2/19/2013,,,,,,
SALK_024794C,SF04_REFARM,,CofC,NGH,SF,6,102,CofC_SF06_0102,4,B,2,Y,14,1/9/2013,,,,,,
SALK_041774C,RAND_BIN_LINE,,CofC,NGH,SF,6,103,CofC_SF06_0103,4,B,3,Y,14,1/14/2013,,,,,,
SALK_039655C,RAND_BIN_LINE,,CofC,NGH,SF,6,104,CofC_SF06_0104,4,B,4,Y,12,1/9/2013,,,,,,
SALK_041037C,RAND_BIN_LINE,,CofC,NGH,SF,6,105,CofC_SF06_0105,4,C,1,N,,,,DNG,,Y,SF07,
SALK_039106C,RAND_BIN_LINE,,CofC,NGH,SF,6,106,CofC_SF06_0106,4,C,2,N,,,,DNG,,Y,SF07,
SALK_038726C,RAND_BIN_LINE,,CofC,NGH,SF,6,107,CofC_SF06_0107,4,C,3,Y,17,1/22/2013,,,,,,
SALK_010201C,SF03_REFARM,,CofC,NGH,SF,6,108,CofC_SF06_0108,4,C,4,N,,,,DNG,,N,,*Second farming fail
SALK_037347C,RAND_BIN_LINE,,CofC,NGH,SF,6,109,CofC_SF06_0109,4,D,1,Y,21,1/14/2013,,,,,,
SALK_012278C,SF03_REFARM,,CofC,NGH,SF,6,110,CofC_SF06_0110,4,D,2,Y,17,1/14/2013,,,snipped off branch w/ 4-5 siliques by mistake,,,
SALK_038935C,RAND_BIN_LINE,,CofC,NGH,SF,6,111,CofC_SF06_0111,4,D,3,Y,21,1/14/2013,,,,,,
SALK_024096C,SF04_REFARM,,CofC,NGH,SF,6,112,CofC_SF06_0112,4,D,4,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_039212C,RAND_BIN_LINE,,CofC,NGH,SF,6,113,CofC_SF06_0113,4,E,1,Y,12,1/22/2013,,,,,,
SALK_039347C,RAND_BIN_LINE,,CofC,NGH,SF,6,114,CofC_SF06_0114,4,E,2,Y,13,1/22/2013,,,,,,
SALK_023668C,SF04_REFARM,,CofC,NGH,SF,6,115,CofC_SF06_0115,4,E,3,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_026825C,SF04_REFARM,,CofC,NGH,SF,6,116,CofC_SF06_0116,4,E,4,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_039426C,RAND_BIN_LINE,,CofC,NGH,SF,6,117,CofC_SF06_0117,4,F,1,N,,,,DNG,,Y,SF07,
SALK_026089C,SF04_REFARM,,CofC,NGH,SF,6,118,CofC_SF06_0118,4,F,2,Y,20,1/9/2013,,,,,,
SALK_040003C,RAND_BIN_LINE,,CofC,NGH,SF,6,119,CofC_SF06_0119,4,F,3,Y,22,1/14/2013,,,,,,
SALK_041147C,RAND_BIN_LINE,,CofC,NGH,SF,6,120,CofC_SF06_0120,4,F,4,N,,,,DNG,,Y,SF07,
SALK_024083C,SF04_REFARM,,CofC,NGH,SF,6,121,CofC_SF06_0121,4,G,1,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_039630C,RAND_BIN_LINE,,CofC,NGH,SF,6,122,CofC_SF06_0122,4,G,2,Y,16,1/9/2013,,,,,,
SALK_021896C,SF04_REFARM,,CofC,NGH,SF,6,123,CofC_SF06_0123,4,G,3,N,,,,DNG,,N,,SECOND FARM FAIL
CS22652,PHYTOMETER,,CofC,NGH,SF,6,124,CofC_SF06_0124,4,G,4,Y,29,,33,,,,,
SALK_022522C,SF04_REFARM,,CofC,NGH,SF,6,125,CofC_SF06_0125,4,H,1,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_023835C,SF04_REFARM,,CofC,NGH,SF,6,126,CofC_SF06_0126,4,H,2,Y,19,1/9/2013,,,,,,
SALK_038952C,RAND_BIN_LINE,,CofC,NGH,SF,6,127,CofC_SF06_0127,4,H,3,N,,,,DNG,,Y,SF07,
SALK_039868C,RAND_BIN_LINE,,CofC,NGH,SF,6,128,CofC_SF06_0128,4,H,4,N,,,,DNG,,Y,SF07,
SALK_012626C,SF03_REFARM,,CofC,NGH,SF,6,129,CofC_SF06_0129,5,A,1,Y,20,1/14/2013,,,,,,
SALK_010311C,SF03_REFARM,,CofC,NGH,SF,6,130,CofC_SF06_0130,5,A,2,Y,16,2/19/2013,,,,,,
SALK_010131C,SF03_REFARM,,CofC,NGH,SF,6,131,CofC_SF06_0131,5,A,3,Y,17,3/19/2013,,,bolted 2/27,,,
SALK_041903C,RAND_BIN_LINE,,CofC,NGH,SF,6,132,CofC_SF06_0132,5,A,4,Y,14,1/14/2013,,,,,,
SALK_040686C,RAND_BIN_LINE,,CofC,NGH,SF,6,133,CofC_SF06_0133,5,B,1,N,,,,DNG,,Y,SF07,
SALK_037242C,RAND_BIN_LINE,,CofC,NGH,SF,6,134,CofC_SF06_0134,5,B,2,Y,15,1/14/2013,,,,,,
SALK_038167C,RAND_BIN_LINE,,CofC,NGH,SF,6,135,CofC_SF06_0135,5,B,3,Y,17,1/14/2013,,,,,,
SALK_037501C,RAND_BIN_LINE,,CofC,NGH,SF,6,136,CofC_SF06_0136,5,B,4,Y,14,2/19/2013,,,,,,
SALK_039611C,RAND_BIN_LINE,,CofC,NGH,SF,6,137,CofC_SF06_0137,5,C,1,Y,18,1/9/2013,,,,,,
CS22633,PHYTOMETER,,CofC,NGH,SF,6,138,CofC_SF06_0138,5,C,2,Y,32,,41,,,,,
SALK_023502C,SF04_REFARM,,CofC,NGH,SF,6,139,CofC_SF06_0139,5,C,3,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_010232C,SF03_REFARM,,CofC,NGH,SF,6,140,CofC_SF06_0140,5,C,4,N,,,,DNG,,N,,*Second farming fail
SALK_038307C,RAND_BIN_LINE,,CofC,NGH,SF,6,141,CofC_SF06_0141,5,D,1,Y,15,2/19/2013,,,,,,
SALK_041627C,RAND_BIN_LINE,,CofC,NGH,SF,6,142,CofC_SF06_0142,5,D,2,N,,,,DNG,,Y,SF07,
SALK_040207C,RAND_BIN_LINE,,CofC,NGH,SF,6,143,CofC_SF06_0143,5,D,3,Y,15,1/9/2013,,,,,,
SALK_026404C,SF04_REFARM,,CofC,NGH,SF,6,144,CofC_SF06_0144,5,D,4,Y,14,1/14/2013,,,,,,
CS22647,PHYTOMETER,,CofC,NGH,SF,6,145,CofC_SF06_0145,5,E,1,Y,25,,39,,,,,
CS22635,PHYTOMETER,,CofC,NGH,SF,6,146,CofC_SF06_0146,5,E,2,Y,16,,27,,,,,
SALK_009963C,SF03_REFARM,,CofC,NGH,SF,6,147,CofC_SF06_0147,5,E,3,Y,18,2/19/2013,,,,,,
SALK_039664C,RAND_BIN_LINE,,CofC,NGH,SF,6,148,CofC_SF06_0148,5,E,4,Y,17,1/14/2013,,,,,,
SALK_037410C,RAND_BIN_LINE,,CofC,NGH,SF,6,149,CofC_SF06_0149,5,F,1,N,,,,DNG,,Y,SF07,
SALK_038885C,RAND_BIN_LINE,,CofC,NGH,SF,6,150,CofC_SF06_0150,5,F,2,Y,15,1/14/2013,,,,,,
SALK_040671C,RAND_BIN_LINE,,CofC,NGH,SF,6,151,CofC_SF06_0151,5,F,3,N,,,,DNG,,Y,SF07,
SALK_040506C,RAND_BIN_LINE,,CofC,NGH,SF,6,152,CofC_SF06_0152,5,F,4,N,,,,DNG,,Y,SF07,
SALK_041544C,RAND_BIN_LINE,,CofC,NGH,SF,6,153,CofC_SF06_0153,5,G,1,Y,3,2/19/2013,,,,,,
SALK_038709C,RAND_BIN_LINE,,CofC,NGH,SF,6,154,CofC_SF06_0154,5,G,2,Y,16,2/19/2013,,,,,,
SALK_023683C,SF04_REFARM,,CofC,NGH,SF,6,155,CofC_SF06_0155,5,G,3,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_039356C,RAND_BIN_LINE,,CofC,NGH,SF,6,156,CofC_SF06_0156,5,G,4,Y,36,1/9/2013,,,,,,
SALK_039613C,RAND_BIN_LINE,,CofC,NGH,SF,6,157,CofC_SF06_0157,5,H,1,Y,14,2/19/2013,,,,,,
SALK_037137C,RAND_BIN_LINE,,CofC,NGH,SF,6,158,CofC_SF06_0158,5,H,2,Y,16,2/19/2013,,,,,,
SALK_010664C,SF03_REFARM,,CofC,NGH,SF,6,159,CofC_SF06_0159,5,H,3,Y,16,2/19/2013,,,,,,
SALK_037965C,RAND_BIN_LINE,,CofC,NGH,SF,6,160,CofC_SF06_0160,5,H,4,Y,13,3/19/2013,,,,,,
SALK_039572C,RAND_BIN_LINE,,CofC,NGH,SF,6,161,CofC_SF06_0161,6,A,1,Y,15,2/20/2013,,,,,,
SALK_023473C,SF04_REFARM,,CofC,NGH,SF,6,162,CofC_SF06_0162,6,A,2,N,,,,DNG,,N,,SECOND FARM FAIL
CS22617,PHYTOMETER,,CofC,NGH,SF,6,163,CofC_SF06_0163,6,A,3,Y,27,,35,,,,,
SALK_022268C,SF04_REFARM,,CofC,NGH,SF,6,164,CofC_SF06_0164,6,A,4,Y,,2/20/2013,,,,,,
SALK_040214C,RAND_BIN_LINE,,CofC,NGH,SF,6,165,CofC_SF06_0165,6,B,1,Y,20,1/9/2013,,,,,,
SALK_038632C,RAND_BIN_LINE,,CofC,NGH,SF,6,166,CofC_SF06_0166,6,B,2,N,,,,DNG,,Y,SF07,
SALK_037929C,RAND_BIN_LINE,,CofC,NGH,SF,6,167,CofC_SF06_0167,6,B,3,Y,18,2/20/2013,,,,,,
SALK_039709C,RAND_BIN_LINE,,CofC,NGH,SF,6,168,CofC_SF06_0168,6,B,4,Y,21,2/20/2013,,,,,,
SALK_038308C,RAND_BIN_LINE,,CofC,NGH,SF,6,169,CofC_SF06_0169,6,C,1,Y,14,1/14/2013,,,,,,
SALK_040637C,RAND_BIN_LINE,,CofC,NGH,SF,6,170,CofC_SF06_0170,6,C,2,N,,,,DNG,,Y,SF07,
SALK_039449C,RAND_BIN_LINE,,CofC,NGH,SF,6,171,CofC_SF06_0171,6,C,3,Y,15,1/14/2013,,,,,,
SALK_039478C,RAND_BIN_LINE,,CofC,NGH,SF,6,172,CofC_SF06_0172,6,C,4,Y,12,1/14/2013,,,,,,
SALK_038835C,RAND_BIN_LINE,,CofC,NGH,SF,6,173,CofC_SF06_0173,6,D,1,Y,14,2/20/2013,,,,,,
SALK_040449C,RAND_BIN_LINE,,CofC,NGH,SF,6,174,CofC_SF06_0174,6,D,2,Y,13,3/19/2013,,,bolted 3/12,,,
CS22635,PHYTOMETER,,CofC,NGH,SF,6,175,CofC_SF06_0175,6,D,3,N,,,,DNG,,NA,,
SALK_012575C,SF03_REFARM,,CofC,NGH,SF,6,176,CofC_SF06_0176,6,D,4,N,,,,DNG,,N,,*Second farming fail
COL70000,PHYTOMETER,,CofC,NGH,SF,6,177,CofC_SF06_0177,6,E,1,Y,20,,34,,,,,
SALK_024005C,SF04_REFARM,,CofC,NGH,SF,6,178,CofC_SF06_0178,6,E,2,Y,18,1/9/2013,,,,,,
CS22633,PHYTOMETER,,CofC,NGH,SF,6,179,CofC_SF06_0179,6,E,3,Y,21,,29,,,,,
SALK_039261C,RAND_BIN_LINE,,CofC,NGH,SF,6,180,CofC_SF06_0180,6,E,4,Y,20,1/9/2013,,,,,,
SALK_022524C,SF04_REFARM,,CofC,NGH,SF,6,181,CofC_SF06_0181,6,F,1,Y,24,1/9/2013,,,,,,
SALK_023943C,SF04_REFARM,,CofC,NGH,SF,6,182,CofC_SF06_0182,6,F,2,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_021994C,SF04_REFARM,,CofC,NGH,SF,6,183,CofC_SF06_0183,6,F,3,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_039359C,RAND_BIN_LINE,,CofC,NGH,SF,6,184,CofC_SF06_0184,6,F,4,Y,15,2/20/2013,,,,,,
SALK_040280C,RAND_BIN_LINE,,CofC,NGH,SF,6,185,CofC_SF06_0185,6,G,1,Y,19,1/14/2013,,,,,,
SALK_041324C,RAND_BIN_LINE,,CofC,NGH,SF,6,186,CofC_SF06_0186,6,G,2,Y,22,1/9/2013,,,,,,
SALK_023810C,SF04_REFARM,,CofC,NGH,SF,6,187,CofC_SF06_0187,6,G,3,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_040660C,RAND_BIN_LINE,,CofC,NGH,SF,6,188,CofC_SF06_0188,6,G,4,Y,15,1/14/2013,,,,,,
SALK_012713C,SF03_REFARM,,CofC,NGH,SF,6,189,CofC_SF06_0189,6,H,1,Y,27,1/9/2013,,,,,,
SALK_010140C,SF03_REFARM,,CofC,NGH,SF,6,190,CofC_SF06_0190,6,H,2,N,,,,DNG,,N,,*Second farming fail
SALK_010569C,SF03_REFARM,,CofC,NGH,SF,6,191,CofC_SF06_0191,6,H,3,N,,,,DNG,,N,,*Second farming fail
SALK_039361C,RAND_BIN_LINE,,CofC,NGH,SF,6,192,CofC_SF06_0192,6,H,4,Y,26,1/9/2013,,,,,,
SALK_025037C,SF04_REFARM,,CofC,NGH,SF,6,193,CofC_SF06_0193,7,A,1,Y,13,1/23/2013,,,,,,
SALK_038270C,RAND_BIN_LINE,,CofC,NGH,SF,6,194,CofC_SF06_0194,7,A,2,Y,16,1/23/2013,,,,,,
SALK_041782C,RAND_BIN_LINE,,CofC,NGH,SF,6,195,CofC_SF06_0195,7,A,3,Y,12,2/20/2013,,,,,,
CS22636,PHYTOMETER,,CofC,NGH,SF,6,196,CofC_SF06_0196,7,A,4,Y,16,,27,,,,,
